"conceptSetId","conceptSetName","conceptId","conceptName","standardConcept","invalidReason","conceptCode","vocabularyId"
103,"[C04][H1][S01] Deep Vein Thrombosis",443537,"Deep venous thrombosis of lower extremity","S","V","404223003","SNOMED"
103,"[C04][H1][S01] Deep Vein Thrombosis",606774,"Phlegmasia alba dolens in pregnancy","S","V","1148587000","SNOMED"
103,"[C04][H1][S01] Deep Vein Thrombosis",618482,"Acute deep venous thrombosis of left peroneal vein","S","V","46557031000119105","SNOMED"
103,"[C04][H1][S01] Deep Vein Thrombosis",618678,"Bilateral acute deep venous thrombosis of peroneal veins","S","V","81121301000119109","SNOMED"
103,"[C04][H1][S01] Deep Vein Thrombosis",618681,"Acute deep venous thrombosis of right peroneal vein","S","V","843433951000119102","SNOMED"
103,"[C04][H1][S01] Deep Vein Thrombosis",760875,"Acute deep venous thrombosis of bilateral calves","S","V","12237551000119104","SNOMED"
103,"[C04][H1][S01] Deep Vein Thrombosis",761452,"Acute thrombosis of superficial vein of right lower extremity","S","V","15711761000119100","SNOMED"
103,"[C04][H1][S01] Deep Vein Thrombosis",761453,"Acute thrombosis of superficial vein of left lower extremity","S","V","15711801000119108","SNOMED"
103,"[C04][H1][S01] Deep Vein Thrombosis",761454,"Acute thrombosis of superficial veins of both lower extremities","S","V","15711841000119105","SNOMED"
103,"[C04][H1][S01] Deep Vein Thrombosis",762013,"Acute deep venous thrombosis of right femoral vein","S","V","285401000119104","SNOMED"
103,"[C04][H1][S01] Deep Vein Thrombosis",762015,"Acute deep venous thrombosis of ileofemoral vein of left leg","S","V","285451000119100","SNOMED"
103,"[C04][H1][S01] Deep Vein Thrombosis",762020,"Acute deep venous thrombosis of bilateral popliteal veins","S","V","285561000119102","SNOMED"
103,"[C04][H1][S01] Deep Vein Thrombosis",762021,"Acute deep venous thrombosis of popliteal vein of left leg","S","V","285571000119108","SNOMED"
103,"[C04][H1][S01] Deep Vein Thrombosis",762022,"Acute deep venous thrombosis of popliteal vein of right leg","S","V","285581000119106","SNOMED"
103,"[C04][H1][S01] Deep Vein Thrombosis",762026,"Acute deep venous thrombosis of tibial vein of left leg","S","V","285631000119109","SNOMED"
103,"[C04][H1][S01] Deep Vein Thrombosis",762417,"Acute deep venous thrombosis of bilateral legs","S","V","350291000119100","SNOMED"
103,"[C04][H1][S01] Deep Vein Thrombosis",762418,"Acute deep venous thrombosis of left lower extremity","S","V","350301000119104","SNOMED"
103,"[C04][H1][S01] Deep Vein Thrombosis",762419,"Acute deep venous thrombosis of right lower extremity","S","V","350311000119101","SNOMED"
103,"[C04][H1][S01] Deep Vein Thrombosis",763941,"Deep venous thrombosis of right lower extremity","S","V","448831000124105","SNOMED"
103,"[C04][H1][S01] Deep Vein Thrombosis",763942,"Deep venous thrombosis of left lower extremity","S","V","448841000124100","SNOMED"
103,"[C04][H1][S01] Deep Vein Thrombosis",765049,"Thrombosis of left peroneal vein","S","V","16730001000004104","SNOMED"
103,"[C04][H1][S01] Deep Vein Thrombosis",765155,"Acute deep venous thrombosis of bilateral ileofemoral veins","S","V","285441000119102","SNOMED"
103,"[C04][H1][S01] Deep Vein Thrombosis",765156,"Acute deep venous thrombosis of tibial vein of right leg","S","V","285641000119100","SNOMED"
103,"[C04][H1][S01] Deep Vein Thrombosis",765540,"Acute deep venous thrombosis of left femoral vein","S","V","285391000119101","SNOMED"
103,"[C04][H1][S01] Deep Vein Thrombosis",765541,"Acute deep venous thrombosis of ileofemoral vein of right lower extremity","S","V","285461000119103","SNOMED"
103,"[C04][H1][S01] Deep Vein Thrombosis",765546,"Acute deep venous thrombosis of bilateral tibial veins","S","V","285621000119106","SNOMED"
103,"[C04][H1][S01] Deep Vein Thrombosis",1075377,"Deep venous thrombosis of posterior tibial vein","S","V","1303880008","SNOMED"
103,"[C04][H1][S01] Deep Vein Thrombosis",1075378,"Deep venous thrombosis of right posterior tibial vein","S","V","1303883005","SNOMED"
103,"[C04][H1][S01] Deep Vein Thrombosis",1075379,"Deep venous thrombosis of left posterior tibial vein","S","V","1303884004","SNOMED"
103,"[C04][H1][S01] Deep Vein Thrombosis",1414880,"Femoral vein inflammation (machine translation)","N","V","I80.101","ICD10CN"
103,"[C04][H1][S01] Deep Vein Thrombosis",1414881,"Femoral vein thrombosis phlebitis (machine translation)","N","V","I80.102","ICD10CN"
103,"[C04][H1][S01] Deep Vein Thrombosis",1414882,"Iliac vein thrombosis (machine translation)","N","V","I80.103","ICD10CN"
103,"[C04][H1][S01] Deep Vein Thrombosis",1414883,"Femoral vein thrombosis (machine translation)","N","V","I80.104","ICD10CN"
103,"[C04][H1][S01] Deep Vein Thrombosis",1553765,"Acute embolism and thrombosis of peroneal vein","N","V","I82.45","ICD10CM"
103,"[C04][H1][S01] Deep Vein Thrombosis",1553766,"Acute embolism and thrombosis of right peroneal vein","N","V","I82.451","ICD10CM"
103,"[C04][H1][S01] Deep Vein Thrombosis",1553767,"Acute embolism and thrombosis of left peroneal vein","N","V","I82.452","ICD10CM"
103,"[C04][H1][S01] Deep Vein Thrombosis",1553768,"Acute embolism and thrombosis of peroneal vein, bilateral","N","V","I82.453","ICD10CM"
103,"[C04][H1][S01] Deep Vein Thrombosis",1553769,"Acute embolism and thrombosis of unspecified peroneal vein","N","V","I82.459","ICD10CM"
103,"[C04][H1][S01] Deep Vein Thrombosis",1569352,"Acute embolism and thrombosis of deep veins of lower extremity","N","V","I82.4","ICD10CM"
103,"[C04][H1][S01] Deep Vein Thrombosis",1569353,"Acute embolism and thrombosis of femoral vein","N","V","I82.41","ICD10CM"
103,"[C04][H1][S01] Deep Vein Thrombosis",1569354,"Acute embolism and thrombosis of iliac vein","N","V","I82.42","ICD10CM"
103,"[C04][H1][S01] Deep Vein Thrombosis",1569355,"Acute embolism and thrombosis of popliteal vein","N","V","I82.43","ICD10CM"
103,"[C04][H1][S01] Deep Vein Thrombosis",1569356,"Acute embolism and thrombosis of tibial vein","N","V","I82.44","ICD10CM"
103,"[C04][H1][S01] Deep Vein Thrombosis",1569357,"Acute embolism and thrombosis of other specified deep vein of lower extremity","N","V","I82.49","ICD10CM"
103,"[C04][H1][S01] Deep Vein Thrombosis",1569358,"Acute embolism and thrombosis of unspecified deep veins of proximal lower extremity","N","V","I82.4Y","ICD10CM"
103,"[C04][H1][S01] Deep Vein Thrombosis",1569359,"Acute embolism and thrombosis of unspecified deep veins of distal lower extremity","N","V","I82.4Z","ICD10CM"
103,"[C04][H1][S01] Deep Vein Thrombosis",3087514,"Deep venous thrombosis of lower extremity","N","U","128057002","Nebraska Lexicon"
103,"[C04][H1][S01] Deep Vein Thrombosis",3105795,"Deep vein thrombosis-non obst.","N","U","155454004","Nebraska Lexicon"
103,"[C04][H1][S01] Deep Vein Thrombosis",3124708,"Thrombosis of vein of lower limb","N","U","195419004","Nebraska Lexicon"
103,"[C04][H1][S01] Deep Vein Thrombosis",3150904,"Deep vein thrombosis of leg related to air travel","N","U","366830006","Nebraska Lexicon"
103,"[C04][H1][S01] Deep Vein Thrombosis",3150975,"Deep vein thrombosis of leg related to air travel","N","U","366911007","Nebraska Lexicon"
103,"[C04][H1][S01] Deep Vein Thrombosis",3150976,"Deep vein thrombosis of lower limb","N","U","366912000","Nebraska Lexicon"
103,"[C04][H1][S01] Deep Vein Thrombosis",3151531,"Deep venous thrombosis of leg","N","U","370248003","Nebraska Lexicon"
