"conceptSetId","conceptSetName","conceptId","conceptName","standardConcept","invalidReason","conceptCode","vocabularyId"
114,"[C06][H1] Uveitis",373497,"Foster-Kennedy syndrome","S","V","87764000","SNOMED"
114,"[C06][H1] Uveitis",432630,"Juxtapapillary focal retinitis AND retinochoroiditis","S","V","46497009","SNOMED"
114,"[C06][H1] Uveitis",433480,"Optic disc edema due to hypotony","S","V","424497004","SNOMED"
114,"[C06][H1] Uveitis",433757,"Peripheral disseminated choroiditis AND chorioretinitis","S","V","69811008","SNOMED"
114,"[C06][H1] Uveitis",433762,"Disseminated chorioretinitis","S","V","78769001","SNOMED"
114,"[C06][H1] Uveitis",434026,"Pars planitis","S","V","45688009","SNOMED"
114,"[C06][H1] Uveitis",434033,"Chorioretinitis","S","V","46627006","SNOMED"
114,"[C06][H1] Uveitis",434638,"Paramacular focal retinitis AND retinochoroiditis","S","V","42031001","SNOMED"
114,"[C06][H1] Uveitis",434927,"Disseminated choroiditis AND chorioretinitis, posterior pole","S","V","51579006","SNOMED"
114,"[C06][H1] Uveitis",435269,"Optic papillitis","S","V","73221001","SNOMED"
114,"[C06][H1] Uveitis",435541,"Generalized disseminated choroiditis AND chorioretinitis","S","V","14894002","SNOMED"
114,"[C06][H1] Uveitis",436403,"Retinal vasculitis","S","V","77628002","SNOMED"
114,"[C06][H1] Uveitis",436967,"Juxtapapillary focal choroiditis AND chorioretinitis","S","V","6313001","SNOMED"
114,"[C06][H1] Uveitis",437850,"Focal chorioretinitis","S","V","15847003","SNOMED"
114,"[C06][H1] Uveitis",437876,"Papilledema - optic disc edema due to raised intracranial pressure","S","V","423488006","SNOMED"
114,"[C06][H1] Uveitis",438739,"Sympathetic uveitis","S","V","75315001","SNOMED"
114,"[C06][H1] Uveitis",438740,"Peripheral focal retinitis AND retinochoroiditis","S","V","36535003","SNOMED"
114,"[C06][H1] Uveitis",438744,"Acute posterior multifocal placoid pigment epitheliopathy","S","V","89188001","SNOMED"
114,"[C06][H1] Uveitis",439014,"Panuveitis","S","V","75614007","SNOMED"
114,"[C06][H1] Uveitis",439017,"Peripheral focal choroiditis AND chorioretinitis","S","V","56787009","SNOMED"
114,"[C06][H1] Uveitis",441564,"Optic disc edema associated with retinal disorder","S","V","424669003","SNOMED"
114,"[C06][H1] Uveitis",601073,"Punctate inner choroidopathy of right eye","S","V","332811000119106","SNOMED"
114,"[C06][H1] Uveitis",601076,"Multiple evanescent white dot syndrome of right eye","S","V","333741000119105","SNOMED"
114,"[C06][H1] Uveitis",601085,"Punctate inner choroidopathy of left eye","S","V","338421000119104","SNOMED"
114,"[C06][H1] Uveitis",601088,"Multiple evanescent white dot syndrome of left eye","S","V","339341000119106","SNOMED"
114,"[C06][H1] Uveitis",601098,"Bilateral multiple evanescent white dot syndrome of eyes","S","V","345101000119107","SNOMED"
114,"[C06][H1] Uveitis",606970,"Inflammation of retina due to chronic kidney disease stage 5","S","V","1148920008","SNOMED"
114,"[C06][H1] Uveitis",609298,"Bilateral punctate inner choroidopathy of eyes","S","V","344191000119100","SNOMED"
114,"[C06][H1] Uveitis",745759,"Computerized ophthalmic diagnostic imaging (eg, optical coherence tomography [OCT]), posterior segment, with interpretation and report, unilateral or bilateral; retina, including OCT angiography","S","V","92137","CPT4"
114,"[C06][H1] Uveitis",761523,"Papilledema of bilateral eyes due to raised intracranial pressure","N","U","15731281000119106","SNOMED"
114,"[C06][H1] Uveitis",761524,"Papilledema of right eye","N","U","15731521000119105","SNOMED"
114,"[C06][H1] Uveitis",761525,"Papilledema of left eye","N","U","15731561000119100","SNOMED"
114,"[C06][H1] Uveitis",908219,"Birdshot Chorioretinopathy","N","V","D000080365","MeSH"
114,"[C06][H1] Uveitis",908245,"Multifocal Choroiditis","N","V","D000080364","MeSH"
114,"[C06][H1] Uveitis",908271,"White Dot Syndromes","N","V","D000080363","MeSH"
114,"[C06][H1] Uveitis",1073297,"Optical coherence tomography of anterior segment of eye","S","V","1303745001","SNOMED"
114,"[C06][H1] Uveitis",1073298,"Optical coherence tomography of posterior segment of eye","S","V","1303746000","SNOMED"
114,"[C06][H1] Uveitis",1074033,"Fluoroscopy guided optical coherence tomography of left coronary artery with contrast","S","V","1334009001","SNOMED"
114,"[C06][H1] Uveitis",1074034,"Fluoroscopy guided optical coherence tomography of right coronary artery with contrast","S","V","1334010006","SNOMED"
114,"[C06][H1] Uveitis",1074035,"Fluoroscopy guided optical coherence tomography of bilateral coronary arteries with contrast","S","V","1334011005","SNOMED"
114,"[C06][H1] Uveitis",1077039,"Focal retinitis of posterior pole of right eye","S","V","332991000119109","SNOMED"
114,"[C06][H1] Uveitis",1077040,"Focal choroiditis of posterior pole of right eye","S","V","333001000119105","SNOMED"
114,"[C06][H1] Uveitis",1077041,"Right posterior pole focal chorioretinitis","S","V","333011000119108","SNOMED"
114,"[C06][H1] Uveitis",1077042,"Right posterior cyclitis","S","V","333061000119106","SNOMED"
114,"[C06][H1] Uveitis",1077043,"Right peripheral focal retinitis","S","V","333181000119101","SNOMED"
114,"[C06][H1] Uveitis",1077055,"Right focal juxtapapillary choroiditis","S","V","334631000119107","SNOMED"
114,"[C06][H1] Uveitis",1077056,"Right focal chorioretinitis","S","V","335111000119106","SNOMED"
114,"[C06][H1] Uveitis",1077082,"Focal retinitis of posterior pole of left eye","S","V","338601000119105","SNOMED"
114,"[C06][H1] Uveitis",1077083,"Focal choroiditis of posterior pole of left eye","S","V","338611000119108","SNOMED"
114,"[C06][H1] Uveitis",1077084,"Left posterior pole focal chorioretinitis","S","V","338621000119101","SNOMED"
114,"[C06][H1] Uveitis",1077085,"Left posterior cyclitis","S","V","338671000119100","SNOMED"
114,"[C06][H1] Uveitis",1077086,"Left peripheral focal retinitis","S","V","338791000119105","SNOMED"
114,"[C06][H1] Uveitis",1077098,"Left focal juxtapapillary choroiditis","S","V","340231000119102","SNOMED"
114,"[C06][H1] Uveitis",1077099,"Left focal chorioretinitis","S","V","340721000119105","SNOMED"
114,"[C06][H1] Uveitis",1077114,"Bilateral posterior pole focal retinitis","S","V","344371000119104","SNOMED"
114,"[C06][H1] Uveitis",1077115,"Bilateral posterior pole focal choroiditis","S","V","344381000119101","SNOMED"
114,"[C06][H1] Uveitis",1077116,"Bilateral posterior pole focal chorioretinitis","S","V","344391000119103","SNOMED"
114,"[C06][H1] Uveitis",1077117,"Bilateral posterior cyclitis","S","V","344441000119104","SNOMED"
114,"[C06][H1] Uveitis",1077118,"Bilateral peripheral focal retinitis","S","V","344561000119104","SNOMED"
114,"[C06][H1] Uveitis",1077123,"Bilateral focal juxtapapillary choroiditis","S","V","345591000119107","SNOMED"
114,"[C06][H1] Uveitis",1077124,"Bilateral focal chorioretinitis","S","V","346031000119109","SNOMED"
114,"[C06][H1] Uveitis",1200639,"Serpiginous choroiditis","C","V","10081652","MedDRA"
114,"[C06][H1] Uveitis",1245126,"Papilledema of eye due to intraocular pressure below reference range","S","V","1296788004","SNOMED"
114,"[C06][H1] Uveitis",1245648,"Papilledema of right eye due to intraocular pressure below reference range","S","V","15731361000119106","SNOMED"
114,"[C06][H1] Uveitis",1245649,"Papilledema of bilateral eyes due to intraocular pressure below reference range","S","V","15731401000119102","SNOMED"
