"conceptSetId","conceptSetName","conceptId","conceptName","standardConcept","invalidReason","conceptCode","vocabularyId"
171,"[C04][H1][S02] Deep Vein Thrombosis - From Comparison - BOTH",443537,"Deep venous thrombosis of lower extremity","S","V","404223003","SNOMED"
171,"[C04][H1][S02] Deep Vein Thrombosis - From Comparison - BOTH",762013,"Acute deep venous thrombosis of right femoral vein","S","V","285401000119104","SNOMED"
171,"[C04][H1][S02] Deep Vein Thrombosis - From Comparison - BOTH",762015,"Acute deep venous thrombosis of ileofemoral vein of left leg","S","V","285451000119100","SNOMED"
171,"[C04][H1][S02] Deep Vein Thrombosis - From Comparison - BOTH",762020,"Acute deep venous thrombosis of bilateral popliteal veins","S","V","285561000119102","SNOMED"
171,"[C04][H1][S02] Deep Vein Thrombosis - From Comparison - BOTH",762021,"Acute deep venous thrombosis of popliteal vein of left leg","S","V","285571000119108","SNOMED"
171,"[C04][H1][S02] Deep Vein Thrombosis - From Comparison - BOTH",762022,"Acute deep venous thrombosis of popliteal vein of right leg","S","V","285581000119106","SNOMED"
171,"[C04][H1][S02] Deep Vein Thrombosis - From Comparison - BOTH",762417,"Acute deep venous thrombosis of bilateral legs","S","V","350291000119100","SNOMED"
171,"[C04][H1][S02] Deep Vein Thrombosis - From Comparison - BOTH",762418,"Acute deep venous thrombosis of left lower extremity","S","V","350301000119104","SNOMED"
171,"[C04][H1][S02] Deep Vein Thrombosis - From Comparison - BOTH",762419,"Acute deep venous thrombosis of right lower extremity","S","V","350311000119101","SNOMED"
171,"[C04][H1][S02] Deep Vein Thrombosis - From Comparison - BOTH",763941,"Deep venous thrombosis of right lower extremity","S","V","448831000124105","SNOMED"
171,"[C04][H1][S02] Deep Vein Thrombosis - From Comparison - BOTH",763942,"Deep venous thrombosis of left lower extremity","S","V","448841000124100","SNOMED"
171,"[C04][H1][S02] Deep Vein Thrombosis - From Comparison - BOTH",765155,"Acute deep venous thrombosis of bilateral ileofemoral veins","S","V","285441000119102","SNOMED"
171,"[C04][H1][S02] Deep Vein Thrombosis - From Comparison - BOTH",765540,"Acute deep venous thrombosis of left femoral vein","S","V","285391000119101","SNOMED"
171,"[C04][H1][S02] Deep Vein Thrombosis - From Comparison - BOTH",765541,"Acute deep venous thrombosis of ileofemoral vein of right lower extremity","S","V","285461000119103","SNOMED"
171,"[C04][H1][S02] Deep Vein Thrombosis - From Comparison - BOTH",3185768,"Popliteal vein thrombosis","S","V","8340001000004107","Nebraska Lexicon"
171,"[C04][H1][S02] Deep Vein Thrombosis - From Comparison - BOTH",3655221,"Deep vein thrombosis of lower extremity due to intravenous drug use","S","V","860699005","SNOMED"
171,"[C04][H1][S02] Deep Vein Thrombosis - From Comparison - BOTH",4046884,"Deep vein thrombosis of leg related to air travel","S","V","134399007","SNOMED"
171,"[C04][H1][S02] Deep Vein Thrombosis - From Comparison - BOTH",4175649,"Thrombosis of the popliteal vein","S","V","427776007","SNOMED"
171,"[C04][H1][S02] Deep Vein Thrombosis - From Comparison - BOTH",4284538,"Phlegmasia cerulea dolens","S","V","66877004","SNOMED"
171,"[C04][H1][S02] Deep Vein Thrombosis - From Comparison - BOTH",4322565,"Deep venous thrombosis of profunda femoris vein","S","V","427775006","SNOMED"
171,"[C04][H1][S02] Deep Vein Thrombosis - From Comparison - BOTH",35615034,"Acute deep vein thrombosis of right lower limb following procedure","S","V","15711241000119106","SNOMED"
171,"[C04][H1][S02] Deep Vein Thrombosis - From Comparison - BOTH",35615035,"Acute deep vein thrombosis of left lower limb following procedure","S","V","15711401000119105","SNOMED"
171,"[C04][H1][S02] Deep Vein Thrombosis - From Comparison - BOTH",37109253,"Bilateral acute deep vein thrombosis of femoral veins","S","V","285381000119104","SNOMED"
171,"[C04][H1][S02] Deep Vein Thrombosis - From Comparison - BOTH",37169261,"Acute deep vein thrombosis of bilateral lower limbs following procedure","S","V","15711321000119106","SNOMED"
171,"[C04][H1][S02] Deep Vein Thrombosis - From Comparison - BOTH",40478951,"Bilateral deep vein thrombosis of lower extremities","S","V","444325005","SNOMED"
171,"[C04][H1][S02] Deep Vein Thrombosis - From Comparison - BOTH",43531681,"Acute deep vein thrombosis of lower limb","S","V","651000119108","SNOMED"
171,"[C04][H1][S02] Deep Vein Thrombosis - From Comparison - BOTH",44782743,"Acute deep venous thrombosis of popliteal vein","S","V","132251000119101","SNOMED"
171,"[C04][H1][S02] Deep Vein Thrombosis - From Comparison - BOTH",44782745,"Acute deep venous thrombosis of thigh","S","V","132271000119105","SNOMED"
171,"[C04][H1][S02] Deep Vein Thrombosis - From Comparison - BOTH",44782747,"Acute deep venous thrombosis of femoral vein","S","V","132291000119106","SNOMED"
171,"[C04][H1][S02] Deep Vein Thrombosis - From Comparison - BOTH",44782767,"Acute deep venous thrombosis of lower extremity as complication of procedure","S","V","136781000119101","SNOMED"
171,"[C04][H1][S02] Deep Vein Thrombosis - From Comparison - BOTH",45773536,"Deep venous thrombosis of femoropopliteal vein","S","V","703277001","SNOMED"
