"conceptSetId","conceptSetName","conceptId","conceptName","standardConcept","invalidReason","conceptCode","vocabularyId"
171,"[C04][H1][S02] Deep Vein Thrombosis - From Comparison - BOTH",443537,"Deep venous thrombosis of lower extremity","S","V","404223003","SNOMED"
171,"[C04][H1][S02] Deep Vein Thrombosis - From Comparison - BOTH",762013,"Acute deep venous thrombosis of right femoral vein","S","V","285401000119104","SNOMED"
171,"[C04][H1][S02] Deep Vein Thrombosis - From Comparison - BOTH",762015,"Acute deep venous thrombosis of ileofemoral vein of left leg","S","V","285451000119100","SNOMED"
171,"[C04][H1][S02] Deep Vein Thrombosis - From Comparison - BOTH",762020,"Acute deep venous thrombosis of bilateral popliteal veins","S","V","285561000119102","SNOMED"
171,"[C04][H1][S02] Deep Vein Thrombosis - From Comparison - BOTH",762021,"Acute deep venous thrombosis of popliteal vein of left leg","S","V","285571000119108","SNOMED"
171,"[C04][H1][S02] Deep Vein Thrombosis - From Comparison - BOTH",762022,"Acute deep venous thrombosis of popliteal vein of right leg","S","V","285581000119106","SNOMED"
171,"[C04][H1][S02] Deep Vein Thrombosis - From Comparison - BOTH",762417,"Acute deep venous thrombosis of bilateral legs","S","V","350291000119100","SNOMED"
171,"[C04][H1][S02] Deep Vein Thrombosis - From Comparison - BOTH",762418,"Acute deep venous thrombosis of left lower extremity","S","V","350301000119104","SNOMED"
171,"[C04][H1][S02] Deep Vein Thrombosis - From Comparison - BOTH",762419,"Acute deep venous thrombosis of right lower extremity","S","V","350311000119101","SNOMED"
171,"[C04][H1][S02] Deep Vein Thrombosis - From Comparison - BOTH",763941,"Deep venous thrombosis of right lower extremity","S","V","448831000124105","SNOMED"
171,"[C04][H1][S02] Deep Vein Thrombosis - From Comparison - BOTH",763942,"Deep venous thrombosis of left lower extremity","S","V","448841000124100","SNOMED"
171,"[C04][H1][S02] Deep Vein Thrombosis - From Comparison - BOTH",765155,"Acute deep venous thrombosis of bilateral ileofemoral veins","S","V","285441000119102","SNOMED"
171,"[C04][H1][S02] Deep Vein Thrombosis - From Comparison - BOTH",765540,"Acute deep venous thrombosis of left femoral vein","S","V","285391000119101","SNOMED"
171,"[C04][H1][S02] Deep Vein Thrombosis - From Comparison - BOTH",765541,"Acute deep venous thrombosis of ileofemoral vein of right lower extremity","S","V","285461000119103","SNOMED"
171,"[C04][H1][S02] Deep Vein Thrombosis - From Comparison - BOTH",1569353,"Acute embolism and thrombosis of femoral vein","N","V","I82.41","ICD10CM"
171,"[C04][H1][S02] Deep Vein Thrombosis - From Comparison - BOTH",1569355,"Acute embolism and thrombosis of popliteal vein","N","V","I82.43","ICD10CM"
171,"[C04][H1][S02] Deep Vein Thrombosis - From Comparison - BOTH",1569357,"Acute embolism and thrombosis of other specified deep vein of lower extremity","N","V","I82.49","ICD10CM"
171,"[C04][H1][S02] Deep Vein Thrombosis - From Comparison - BOTH",1569358,"Acute embolism and thrombosis of unspecified deep veins of proximal lower extremity","N","V","I82.4Y","ICD10CM"
171,"[C04][H1][S02] Deep Vein Thrombosis - From Comparison - BOTH",1569359,"Acute embolism and thrombosis of unspecified deep veins of distal lower extremity","N","V","I82.4Z","ICD10CM"
171,"[C04][H1][S02] Deep Vein Thrombosis - From Comparison - BOTH",3087514,"Deep venous thrombosis of lower extremity","N","U","128057002","Nebraska Lexicon"
171,"[C04][H1][S02] Deep Vein Thrombosis - From Comparison - BOTH",3105795,"Deep vein thrombosis-non obst.","N","U","155454004","Nebraska Lexicon"
171,"[C04][H1][S02] Deep Vein Thrombosis - From Comparison - BOTH",3150904,"Deep vein thrombosis of leg related to air travel","N","U","366830006","Nebraska Lexicon"
171,"[C04][H1][S02] Deep Vein Thrombosis - From Comparison - BOTH",3150975,"Deep vein thrombosis of leg related to air travel","N","U","366911007","Nebraska Lexicon"
171,"[C04][H1][S02] Deep Vein Thrombosis - From Comparison - BOTH",3150976,"Deep vein thrombosis of lower limb","N","U","366912000","Nebraska Lexicon"
171,"[C04][H1][S02] Deep Vein Thrombosis - From Comparison - BOTH",3151531,"Deep venous thrombosis of leg","N","U","370248003","Nebraska Lexicon"
